Sweden,Switzerland,1649,1561,1920,1,0
Switzerland,Germany,1561,1655,1920,1,0
Uruguay,Argentina,2044,1945,1920,0,0
Argentina,Uruguay,1945,2044,1920,0,0
Argentina,Uruguay,1945,2044,1920,0,0
Uruguay,Argentina,2044,1945,1920,0,0
Brazil,Uruguay,1830,2044,1920,0,0
Argentina,Brazil,1945,1830,1920,0,0
Sweden,Denmark,1649,1936,1920,1,0
Belgium,France,1879,1592,1921,1,0
Belgium,England,1879,1927,1921,1,0
Argentina,Brazil,1971,1847,1921,0,0
Sweden,Denmark,1590,1927,1921,1,0
Brazil,Uruguay,1847,1999,1921,0,0
Argentina,Uruguay,1971,1999,1921,0,0
Spain,Portugal,2022,1698,1921,1,0
France,Belgium,1585,1868,1922,1,0
Germany,Switzerland,1679,1602,1922,1,0
Belgium,Denmark,1868,1868,1922,1,0
France,Spain,1585,2031,1922,1,0
Sweden,Poland,1641,1625,1922,1,0
Brazil,Uruguay,1905,2006,1922,0,0
Denmark,Sweden,1868,1641,1922,1,0
Argentina,Uruguay,1899,2006,1922,0,0
Brazil,Argentina,1905,1899,1922,0,0
Brazil,Argentina,1905,1899,1922,0,0
Uruguay,Argentina,2006,1899,1922,0,0
Uruguay,Argentina,2006,1899,1922,0,0
Argentina,Uruguay,1899,2006,1922,0,0
Portugal,Spain,1694,2031,1922,1,0
Spain,France,2023,1548,1923,1,0
Belgium,Spain,1870,2023,1923,1,0
Belgium,France,1870,1548,1923,1,0
England,Belgium,1914,1870,1923,1,0
France,Switzerland,1548,1600,1923,1,0
France,England,1548,1914,1923,1,0
Sweden,England,1665,1914,1923,1,0
Sweden,England,1665,1914,1923,1,0
Switzerland,Germany,1600,1664,1923,1,0
Denmark,Switzerland,1873,1600,1923,1,0
Argentina,Uruguay,1911,2008,1923,0,0
Sweden,Germany,1665,1664,1923,1,0
Argentina,Uruguay,1911,2008,1923,1,0
Uruguay,Argentina,2008,1911,1923,0,0
Uruguay,Argentina,2008,1911,1923,0,0
Sweden,Denmark,1665,1873,1923,1,0
Belgium,England,1870,1914,1923,1,0
Poland,Sweden,1606,1665,1923,1,0
Argentina,Brazil,1911,1876,1923,0,0
Uruguay,Brazil,2008,1876,1923,0,0
Argentina,Brazil,1911,1876,1923,1,0
Uruguay,Argentina,2008,1911,1923,0,0
Argentina,Brazil,1911,1876,1923,0,0
Spain,Portugal,2023,1691,1923,1,0
France,Belgium,1554,1741,1924,1,0
Switzerland,France,1774,1554,1924,1,0
Switzerland,Denmark,1774,1850,1924,1,0
France,England,1554,1905,1924,1,0
Sweden,Poland,1896,1580,1924,1,0
Argentina,Uruguay,1960,2038,1924,0,0
Uruguay,Argentina,2038,1960,1924,0,0
Denmark,Sweden,1850,1896,1924,0,0
Sweden,Egypt,1896,1690,1924,1,0
Germany,Sweden,1674,1896,1924,1,0
Uruguay,Argentina,2038,1960,1924,1,0
Argentina,Uruguay,1960,2038,1924,1,0
Denmark,Belgium,1850,1741,1924,1,0
Uruguay,Argentina,2038,1960,1924,0,0
Belgium,France,1741,1554,1924,1,0
England,Belgium,1905,1741,1924,1,0
Germany,Switzerland,1674,1774,1924,1,0
France,England,1533,1898,1925,1,0
Switzerland,Belgium,1745,1735,1925,1,0
Switzerland,Spain,1745,2008,1925,1,0
Sweden,Denmark,1885,1864,1925,0,0
Sweden,Germany,1885,1709,1925,1,0
Switzerland,Germany,1745,1709,1925,1,0
Poland,Sweden,1571,1885,1925,1,0
Argentina,Brazil,1995,1930,1925,0,0
Argentina,Brazil,1995,1930,1925,0,0
France,Belgium,1589,1714,1926,1,0
France,Portugal,1589,1676,1926,1,0
France,Switzerland,1589,1720,1926,1,0
Belgium,England,1714,1831,1926,1,0
Belgium,France,1714,1589,1926,1,0
Germany,Sweden,1726,1822,1926,1,0
Denmark,Sweden,1866,1822,1926,0,0
Sweden,Poland,1822,1601,1926,1,0
Argentina,Uruguay,1961,2037,1926,0,0
Germany,Switzerland,1726,1720,1926,1,0
Portugal,France,1678,1561,1927,1,0
Belgium,Sweden,1681,1827,1927,1,0
Spain,Switzerland,1998,1685,1927,1,0
Belgium,England,1681,1826,1927,1,0
France,Spain,1561,1998,1927,1,0
France,England,1561,1826,1927,1,0
Sweden,Denmark,1827,1877,1927,0,0
Uruguay,Argentina,2017,2012,1927,0,0
Argentina,Uruguay,2012,2017,1927,0,0
Sweden,Belgium,1827,1681,1927,1,0
Denmark,Germany,1877,1725,1927,1,0
Peru,Uruguay,1578,2017,1927,0,0
Switzerland,Sweden,1685,1827,1927,1,0
Argentina,Uruguay,2012,2017,1927,0,0
Peru,Argentina,1578,2012,1927,0,0
Portugal,Spain,1716,1899,1928,1,0
Switzerland,France,1607,1538,1928,1,0
Portugal,Argentina,1716,2052,1928,1,0
France,Belgium,1538,1641,1928,1,0
Switzerland,Germany,1607,1776,1928,1,0
France,Portugal,1538,1716,1928,1,0
France,England,1538,1849,1928,1,0
Belgium,England,1641,1849,1928,1,0
Poland,Sweden,1615,1814,1928,1,0
Argentina,Uruguay,2052,2056,1928,0,0
Germany,Denmark,1776,1872,1928,1,0
Uruguay,Argentina,2056,2052,1928,0,0
Sweden,Germany,1814,1776,1928,1,0
Denmark,Sweden,1872,1814,1928,0,0
Germany,Switzerland,1818,1550,1929,1,0
Spain,Portugal,1916,1687,1929,1,0
France,Portugal,1541,1687,1929,1,0
Spain,France,1916,1541,1929,1,0
France,England,1541,1930,1929,1,0
Belgium,England,1637,1930,1929,1,0
Spain,England,1916,1930,1929,1,0
Belgium,France,1637,1541,1929,1,0
Argentina,Uruguay,2085,1964,1929,1,0
Sweden,Denmark,1807,1816,1929,0,0
Uruguay,Argentina,1964,2085,1929,1,0
Germany,Sweden,1818,1807,1929,1,0
Uruguay,Argentina,1964,2085,1929,0,0
Argentina,Uruguay,2085,1964,1929,0,0
Argentina,Peru,2085,1542,1929,0,0
Peru,Uruguay,1542,1964,1929,0,0
Argentina,Uruguay,2085,1964,1929,0,0
Portugal,France,1691,1555,1930,1,0
France,Switzerland,1555,1551,1930,1,0
France,Belgium,1555,1581,1930,1,0
Switzerland,Germany,1551,1811,1930,1,0
Germany,England,1811,1996,1930,1,0
Argentina,Uruguay,2063,2037,1930,0,0
Belgium,France,1581,1555,1930,1,0
Belgium,Portugal,1581,1691,1930,1,0
Sweden,Switzerland,1760,1551,1930,1,0
Denmark,Sweden,1838,1760,1930,0,0
France,Mexico,1555,1495,1930,0,1
Argentina,France,2063,1555,1930,0,1
Uruguay,Peru,2037,1498,1930,0,1
Argentina,Mexico,2063,1495,1930,0,1
Uruguay,Argentina,2037,2063,1930,0,1
Brazil,France,1891,1555,1930,1,0
Denmark,Germany,1838,1811,1930,1,0
Belgium,Sweden,1581,1760,1930,1,0
Sweden,Poland,1760,1649,1930,1,0
Portugal,Spain,1691,1931,1930,1,0
France,Belgium,1555,1581,1930,1,0
France,Germany,1582,1784,1931,1,0
France,England,1582,1990,1931,1,0
Belgium,England,1591,1990,1931,1,0
Portugal,Belgium,1688,1591,1931,1,0
Sweden,Germany,1761,1784,1931,1,0
Sweden,Denmark,1761,1760,1931,0,0
Brazil,Uruguay,1916,2012,1931,0,0
Germany,Denmark,1784,1760,1931,1,0
Belgium,Poland,1591,1636,1931,1,0
Belgium,Switzerland,1591,1529,1931,1,0
England,Spain,1990,1921,1931,1,0
Germany,Switzerland,1769,1633,1932,1,0
Switzerland,France,1633,1559,1932,1,0
Belgium,France,1586,1559,1932,1,0
Argentina,Uruguay,2052,1989,1932,1,0
Uruguay,Argentina,1989,2052,1932,1,0
Denmark,Belgium,1745,1586,1932,1,0
Sweden,Belgium,1691,1586,1932,1,0
Denmark,Sweden,1745,1691,1932,0,0
Poland,Sweden,1691,1691,1932,1,0
Germany,Sweden,1769,1691,1932,1,0
Switzerland,Sweden,1633,1691,1932,1,0
Uruguay,Brazil,1989,1939,1932,0,0
Uruguay,Argentina,1976,2065,1933,1,0
Argentina,Uruguay,2065,1976,1933,1,0
Switzerland,Belgium,1604,1581,1933,1,0
Germany,France,1779,1586,1933,1,0
France,Belgium,1586,1581,1933,1,0
Spain,Portugal,1908,1698,1933,1,0
France,Spain,1586,1908,1933,1,0
Switzerland,England,1604,1987,1933,1,0
Poland,Belgium,1657,1581,1933,1,0
Sweden,Denmark,1723,1758,1933,0,0
Germany,Belgium,1779,1581,1933,1,0
Switzerland,Germany,1604,1779,1933,1,0
Belgium,Denmark,1581,1758,1933,1,0
