11/04/1908,Wales,Northern Ireland,0,1,British Championship,Aberdare,Wales
12/04/1908,France,Belgium,1,2,Friendly,Colombes,France
26/04/1908,Netherlands,Belgium,3,1,Friendly,Rotterdam,Netherlands
03/05/1908,Austria,Hungary,4,0,Friendly,Vienna,Austria
10/05/1908,Netherlands,France,4,1,Friendly,Rotterdam,Netherlands
06/06/1908,Austria,England,1,6,Friendly,Vienna,Austria
07/06/1908,Austria,Germany,3,2,Friendly,Vienna,Austria
08/06/1908,Austria,England,1,11,Friendly,Vienna,Austria
10/06/1908,Hungary,England,0,7,Friendly,Budapest,Hungary
13/06/1908,Czechoslovakia,England,0,4,Friendly,Prague,Bohemia
12/07/1908,Sweden,Norway,11,3,Friendly,Gothenburg,Sweden
15/08/1908,Uruguay,Argentina,2,2,Copa Lipton,Montevideo,Uruguay
13/09/1908,Argentina,Uruguay,2,1,Copa Newton,Buenos Aires,Argentina
04/10/1908,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Buenos Aires,Argentina
25/10/1908,Netherlands,Sweden,5,3,Friendly,The Hague,Netherlands
26/10/1908,Belgium,Sweden,2,1,Friendly,Brussels,Belgium
01/11/1908,Hungary,Austria,5,3,Friendly,Budapest,Hungary
13/02/1909,England,Northern Ireland,4,0,British Championship,Bradford,England
01/03/1909,Wales,Scotland,3,2,British Championship,Wrexham,Wales
15/03/1909,England,Wales,2,0,British Championship,Nottingham,England
15/03/1909,Scotland,Northern Ireland,5,0,British Championship,Glasgow,Scotland
20/03/1909,Northern Ireland,Wales,2,3,British Championship,Belfast,Ireland
21/03/1909,Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium
03/04/1909,England,Scotland,2,0,British Championship,London,England
04/04/1909,Germany,Switzerland,1,0,Friendly,Karlsruhe,Germany
04/04/1909,Hungary,Germany,3,3,Friendly,Budapest,Hungary
25/04/1909,Netherlands,Belgium,4,1,Friendly,Rotterdam,Netherlands
02/05/1909,Austria,Hungary,3,4,Friendly,Vienna,Austria
09/05/1909,Belgium,France,5,2,Friendly,Brussels,Belgium
29/05/1909,Hungary,England,2,4,Friendly,Budapest,Hungary
30/05/1909,Hungary,Austria,1,1,Friendly,Budapest,Hungary
31/05/1909,Hungary,England,2,8,Friendly,Budapest,Hungary
01/06/1909,Austria,England,1,8,Friendly,Vienna,Austria
15/08/1909,Argentina,Uruguay,2,1,Copa Lipton,Buenos Aires,Argentina
19/09/1909,Uruguay,Argentina,2,2,Copa Newton,Montevideo,Uruguay
10/10/1909,Argentina,Uruguay,3,1,Copa Premio Honor Argentino,Buenos Aires,Argentina
12/02/1910,Northern Ireland,England,1,1,British Championship,Belfast,Ireland
05/03/1910,Scotland,Wales,1,0,British Championship,Kilmarnock,Scotland
13/03/1910,Belgium,Netherlands,3,2,Friendly,Antwerp,Belgium
14/03/1910,Wales,England,0,1,British Championship,Cardiff,Wales
19/03/1910,Northern Ireland,Scotland,1,0,British Championship,Belfast,Ireland
02/04/1910,Scotland,England,2,0,British Championship,Glasgow,Scotland
03/04/1910,France,Belgium,0,4,Friendly,Gentilly,France
03/04/1910,Switzerland,Germany,2,3,Friendly,Basel,Switzerland
10/04/1910,Netherlands,Belgium,7,0,Friendly,Haarlem,Netherlands
11/04/1910,Wales,Northern Ireland,4,1,British Championship,Wrexham,Wales
24/04/1910,Netherlands,Germany,4,2,Friendly,Arnhem,Netherlands
01/05/1910,Austria,Hungary,2,1,Friendly,Vienna,Austria
15/05/1910,Italy,France,6,2,Friendly,Milan,Italy
16/05/1910,Germany,Belgium,0,3,Friendly,Duisburg,Germany
26/05/1910,Hungary,Italy,6,1,Friendly,Budapest,Hungary
27/05/1910,Argentina,Chile,3,1,Friendly,Buenos Aires,Argentina
29/05/1910,Chile,Uruguay,0,3,Friendly,Buenos Aires,Argentina
05/06/1910,Argentina,Chile,5,1,Friendly,Buenos Aires,Argentina
12/06/1910,Argentina,Uruguay,4,1,Friendly,Buenos Aires,Argentina
15/08/1910,Uruguay,Argentina,3,1,Copa Lipton,Montevideo,Uruguay
11/09/1910,Chile,Argentina,0,3,Friendly,Vií±a del Mar,Chile
11/09/1910,Norway,Sweden,0,4,Friendly,Kristiania,Norway
16/10/1910,Germany,Netherlands,1,2,Friendly,Kleve,Germany
06/11/1910,Hungary,Austria,3,0,Friendly,Budapest,Hungary
13/11/1910,Argentina,Uruguay,1,1,Copa Premio Honor Argentino,Buenos Aires,Argentina
27/11/1910,Argentina,Uruguay,2,6,Copa Premio Honor Argentino,Buenos Aires,Argentina
01/01/1911,France,Hungary,0,3,Friendly,Maisons-Alfort,France
06/01/1911,Italy,Hungary,0,1,Friendly,Milan,Italy
08/01/1911,Switzerland,Hungary,2,0,Friendly,Zí_rich,Switzerland
28/01/1911,Northern Ireland,Wales,1,2,British Championship,Belfast,Ireland
11/02/1911,England,Northern Ireland,2,1,British Championship,Derby,England
06/03/1911,Wales,Scotland,2,2,British Championship,Cardiff,Wales
13/03/1911,England,Wales,3,0,British Championship,London,England
18/03/1911,Scotland,Northern Ireland,2,0,British Championship,Glasgow,Scotland
19/03/1911,Belgium,Netherlands,1,5,Friendly,Antwerp,Belgium
26/03/1911,Germany,Switzerland,6,2,Friendly,Stuttgart,Germany
01/04/1911,England,Scotland,1,1,British Championship,Liverpool,England
02/04/1911,Netherlands,Belgium,3,1,Friendly,Dordrecht,Netherlands
09/04/1911,France,Italy,2,2,Friendly,Saint-Ouen,France
23/04/1911,Belgium,Germany,2,1,Friendly,LiíÂge,Belgium
